898,662,140,131,0
851,824,145,144,0
1113,992,142,144,0
1054,571,138,136,0
803,769,128,136,0
1009,891,142,143,0
1082,1134,128,140,0
929,541,118,118,0
1128,812,142,134,0
812,773,141,142,0
890,879,143,143,0
1111,939,144,143,0
917,532,135,137,0
1010,734,141,134,0
1336,935,145,141,0
753,646,134,127,0
941,695,142,140,0
1118,915,147,146,0
1140,676,140,138,0
1254,995,143,145,0
731,660,143,138,0
982,1005,136,132,0
1198,1040,146,149,0
906,535,141,136,0
1138,667,141,140,0
972,987,144,146,0
1083,1130,138,146,0
1083,694,141,140,0
1259,886,145,136,0
997,843,144,142,0
1051,556,140,139,0
1063,1106,148,149,0
1053,563,136,138,0
